İçerik,Video başlığı,Videonun yayınlanma tarihi,Süre,Görüntüleme,Ortalama görüntüleme süresi,Ortalama görüntüleme yüzdesi (%)
x8hG2U1A7iE,Bu Sabah Rutini Çalışma İsteğimi Arttırdı,"Dec 3, 2024",49,4182,0:00:22,46.66
dB5yLJRNOgo,YKS SONUCUNA TEPKİ😮,"Aug 31, 2024",26,3366,0:00:15,60.58
h_JizeeUpcs,🥱 | OKULDAN SONRA YORULUYORSAN BUNU UYGULA!,"Nov 20, 2024",32,3238,0:00:20,63.24
s_F834BXSzM,✅ | YKS SORU & CEVAP 1. BÖLÜM,"Aug 28, 2024",23,3235,0:00:16,71.48
AwgFbYMoHcs,MSÜ’YE BÖYLE HAZIRLAN🤩,"Feb 27, 2024",20,3035,0:00:15,75.25
djEB2-bojWU,✅ | YKS SORU & CEVAP 15. BÖLÜM,"Nov 26, 2024",39,2991,0:00:20,51.93
kuOolRg6MV4,her okulda olan o çocuk…,"Nov 11, 2024",6,2984,0:00:08,144.57
lJdZ7pMNnj0,3 AYDA KONULAR YETİŞİR Mİ?‼️,"Feb 18, 2024",43,2975,0:00:23,54.53
Z05w6Hs2SHc,✅ | YKS SORU & CEVAP 10. BÖLÜM,"Nov 8, 2024",24,2939,0:00:14,61.6
c7aO58_0Nkw,evde çalışarak nasıl 606. oldum? | Youtube’dan ders çalışma rehberi! #yks2025,"Jun 28, 2024",675,2931,0:03:33,31.57
CTJ_EOMcAyY,msü sonrası seni toparlayacak o video!,"Mar 21, 2024",335,2491,0:01:48,32.48
17ceeEEWt2U,✅ | YKS SORU & CEVAP 12. BÖLÜM,"Nov 15, 2024",28,2457,0:00:15,56.26
fu5uzaj3mSk,✅ | YKS SORU & CEVAP 11. BÖLÜM,"Nov 12, 2024",26,2422,0:00:14,56.72
w_77rGR0hbk,🚀 ÇALIŞTIKLARINI UNUTMA!,"Nov 30, 2024",40,2347,0:00:33,82.67
_Q7HYlJ6Q04,✅ | YKS SORU & CEVAP 13. BÖLÜM,"Nov 19, 2024",26,2179,0:00:15,59.87
bY7fk2zcdNM,Geometriyi 0’dan Öğrensem Yine Böyle Çalışırdım,"Dec 4, 2024",41,2095,0:00:15,38.28
ZNYULPd36aI,❌ | EŞİT AĞIRLIKSAN BU HATAYI YAPMA,"Sep 4, 2024",35,2031,0:00:15,44.48
Y0joRg6JdBs,Bu 2 Maddeyi Bildiğim İçin Derece Yaptım,"Dec 1, 2024",49,1990,0:00:27,57.12
x_XQbDy2-P8,bu kanallar derece yaptırır!,"Jul 3, 2024",23,1938,0:00:15,66.61
R4ykpToQ0Lw,🚀 | TYT Fen’de 1 günde bitecek 5 konu!,"Mar 4, 2024",26,1804,0:00:17,67.14
kCVW8thmPy4,💯 | BOŞ VAKİTLERİNDE BİYOLOJİ ÖĞREN!,"Oct 9, 2024",19,1751,0:00:09,49.4
cpqzxfbRHkg,🚀 | Herkesi eleyen o çocuk…,"Oct 18, 2024",11,1655,0:00:11,100.46
CwywyQ3LQv8,bu 5 konuyu öğrenmeden 12. sınıfa geçme | bunları iyi bilen derece yapar! #yks2025,"Jul 2, 2024",299,1630,0:01:59,40.08
8prFLlFDqHI,🏫 | DERECE ÖĞRENCİLERİ NASIL HAZIRLANDI??,"Nov 24, 2024",40,1599,0:00:23,59.63
kOqmyXPyCYs,🫡 | lise hayatın gözünün önünden geçer…,"Sep 2, 2024",15,1560,0:00:09,65.68
a5nKRVwhSWU,✅ | UYGULADIĞIM KAMPI ÜCRETSİZ PAYLAŞIYORUM!,"Sep 5, 2024",49,1559,0:00:25,53.03
jrQIpxCuG7g,❓| MEZUNLARIN EN ÇOK İŞ BULDUĞU 6 BÖLÜM!,"Nov 27, 2024",52,1558,0:00:30,58.76
cWr1hlD8XiI,❓| MATEMATİĞİN EN ZOR 6 KONUSUNU SIRALA!,"Nov 14, 2024",28,1514,0:00:22,80.87
bzVPjUM7bUs,🚀 | 15 SANİYEDE TYT MATEMATİK FULLE!!,"Oct 30, 2024",17,1493,0:00:13,80.67
AmPvh_W4Wkg,✅ | YKS SORU & CEVAP 14. BÖLÜM,"Nov 24, 2024",31,1408,0:00:16,52.96
fJdqw2NONQA,✅ | YKS SORU & CEVAP 2. BÖLÜM,"Sep 1, 2024",19,1354,0:00:14,77.04
WOSq4NoO_68,Türkçe’de Bu 3 Aşamalı Turlama Taktiğiyle 35+ Yaptım,"Dec 6, 2024",38,1285,0:00:22,60.21
jYETVI5Mzvc,dikkat eksikliğine rağmen yks'de derece yapmak! (DEHB) | SAY 10.168.si #yks2025,"Jun 20, 2024",354,1252,0:02:02,34.54
8q11in88GQg,zaman geldi… #yks2025 #coachifyedu,"Jun 24, 2024",23,1243,0:00:11,49.58
A29hz_0n_qs,🚀 | TYT FEN’DE 1 GÜNDE BİTECEK KONULAR,"Nov 25, 2024",31,1209,0:00:19,62.6
NIJhnMSSkUU,👉 | ikna etmeye çalıştığın arkadaşına gönder😃,"Oct 21, 2024",13,1196,0:00:11,90.46
1DGK0dS8fuQ,agaların gözünde değerin 📈,"Nov 28, 2024",16,1163,0:00:10,66.72
9LdqF-nNiCI,✅ | YKS SORU & CEVAP 4. BÖLÜM,"Sep 14, 2024",19,1142,0:00:14,78.47
TQ1a99y3R0w,💯 | MEB’İN ÜCRETSİZ KAMPINI KAÇIRMA!!,"Nov 17, 2024",31,1132,0:00:16,54.71
27EOUs0Z314,🚀 | NETLERİNİ ARTTIRACAK 4 PLAYLIST!,"Oct 16, 2024",49,1099,0:00:16,34.61
3sy8T11uXS4,😎 | net hesapları başladı mı??,"Nov 25, 2024",5,1033,0:00:08,173.67
LhFNGcX2tWA,❓| sana ben soruyorum??,"Oct 11, 2024",14,1022,0:00:11,84.22
JVFwUlOJVK8,anında net arttıran deneme rutinleri | SAY 606. SI & SAY 10.168. Sİ,"Mar 24, 2024",459,1020,0:02:14,29.24
tXM8wHDFLLk,ÖSYM Soruları Buradan Hazırlıyor 👀,"Feb 11, 2024",22,1006,0:00:18,82.4
A20cbOeRLO8,😅 | o anlık rahatlık seviyesi…,"Nov 14, 2024",12,943,0:00:08,69.95
gFJPBqwzSH4,TEMBEL öğrenciden ÇALIŞKAN öğrenciye dönüş! çalışma saatlerini anında arttır! #yks #yks2025,"Aug 29, 2024",390,915,0:02:17,35.22
FHMSfKY-yKA,TYT 1 Haftada 8 Net Arttıran Deneme Kampı👁️,"Feb 15, 2024",21,906,0:00:15,72.84
1trHAGIdVZ4,💣 | 20 SANİYEDE TYT TÜRKÇE FULLE!!,"Nov 10, 2024",22,901,0:00:14,63.75
c2s3HSPed0s,EEENNNN KAPSAMLI TYT YKS KAYNAK ÖNERİLERİ | doğru kaynak seçimi derece yaptırır! #yks #yks2025,"Sep 8, 2024",1620,900,0:03:23,12.58
pVWod4Vvz4A,✅ | YKS SORU & CEVAP 9. BÖLÜM,"Nov 6, 2024",32,815,0:00:13,42.07
jwZVsFrRb_0,😤 | HAK ETTİĞİN NETTE DEĞİLSEN İZLE!,"Nov 7, 2024",27,803,0:00:17,63.92
QbeBVEcZCD4,😭 | bazen çabalasan da olmaz…,"Oct 4, 2024",9,790,0:00:09,102.94
ixfd7GCuhIo,🫠 | o farkındalık anı…,"Sep 16, 2024",12,784,0:00:08,70.13
AGZir8HuOHI,🤡 | mucize bekleyen arkadaşına gönder :)),"Oct 7, 2024",51,778,0:00:25,50.03
VXMmld_2zK8,sonuç açıklanma haftasına girince…,"Jul 9, 2024",5,767,0:00:06,139.49
Pm-Di1FznRY,⁉️ | hangi sınav?,"Sep 23, 2024",14,759,0:00:08,63.86
r9Azurm-1vk,❤️‍🔥 | ÖĞRENMENİN EN KOLAY YOLU!,"Oct 24, 2024",37,726,0:00:16,44.45
WlQ58Mz9LyI,❤️‍🔥 | DERECE ÖĞRENCİLERİNDEN 4 TAKTİK!,"Sep 11, 2024",37,595,0:00:19,52.05
I9mGgYB9tzk,😞 | her mezun senesinin değişmeyen senaryosu…,"Sep 13, 2024",10,570,0:00:08,80.21
kbsMypHzt1k,ZAYIF TEMEL İLE MATEMATİK! 🚀,"Aug 27, 2024",20,536,0:00:14,72.21
gebi9X766WI,🗝️ | AYT MATEMATİĞİN EN ÖNEMLİ KONUSU!!,"Sep 18, 2024",29,498,0:00:14,51.11
SmGvRCNTSkg,😃 | bu taktik de tutmadı!,"Oct 30, 2024",13,333,0:00:09,72.52
oXjksgBfTaI,Cemre Coachify Tanıtım,"Jan 16, 2024",96,237,0:00:33,34.8
u_I7M-En_zA,Elif Coachify Tanıtım,"Jul 15, 2023",108,199,0:00:34,32.26
aH8NEd171Rg,Elif Coachify Tanıtım,"Oct 30, 2023",105,198,0:00:37,36.11
RSctT8KdtzQ,Feyza Tanıtım,"Oct 11, 2023",66,174,0:00:34,51.64
SU58zjQOsiw,Eylül Pelin Coachify Tanıtım,"Jul 13, 2023",93,125,0:00:35,38.64
0x1QNHeyrXk,Can  Coachify Tanıtım,"Jul 13, 2023",95,85,0:00:35,37.07
y9fIiWtUfEo,Umut Berkay Özdemir Coachify Tanıtım,"Jul 13, 2023",158,66,0:00:35,22.23
kd59D_7D6Rg,Janset Coachify Tanıtım,"Sep 9, 2023",148,44,0:00:40,27.44
QN00Vww4_Xw,Muhammet Tanıtım Videosu,"Oct 30, 2023",87,41,0:00:36,41.7
tcixF3EtAkg,Yaman Coachify Tanıtım,"Sep 9, 2023",131,26,0:00:52,39.84
ARM8N_M1P6I,Ferit Coachify Tanıtım Videosu,"Nov 24, 2023",103,19,0:00:37,36.76
HejYRT6l9yw,Berkay Tanıtım Videosu,"Oct 11, 2023",65,18,0:00:30,46.3
7mksi4AnZ1w,Afra Ada Tanıtım,"Oct 11, 2023",70,9,0:00:24,34.59
3SgcuBH99UE,Giray Coachify Tanıtım,"Oct 30, 2023",61,8,0:00:36,60.08
iTAhzteO2rE,Mehmet Ali Coachify Tanıtım,"Nov 10, 2023",64,8,0:00:39,61.07
lhafPhvrRq4,İrem Coachify Tanıtım,"Jul 13, 2023",111,8,0:00:32,29.43
Oxw0lCnRJho,Ömer  Coachify Tanıtım,"Jul 13, 2023",122,5,0:00:46,37.99
dL6KwlUhhRo,Haşim Coachify Tanıtım,"Sep 6, 2023",65,5,0:00:18,27.75
7g1nNn5i0LA,Beren Coachify Tanıtım Videosu,"Nov 24, 2023",157,4,0:00:47,30.05
HxYQIpZXzeE,Haşim Coachify Tanıtım,"Jul 14, 2023",50,4,0:00:26,52.24
dFFKKufTUlY,Mehmet Enes Coachify Tanıtım,"Oct 30, 2023",64,4,0:00:23,36.38
Gq-HtTibVCk,Bora Coachify Tanıtım,"Sep 9, 2023",30,2,0:00:22,73.7
Gswdizpdty8,Mert Coachify Tanıtım,"Sep 6, 2023",64,2,0:00:28,44.47
Tdk6Rr_S2VA,Eren Tanıtım Videosu,"Oct 11, 2023",78,2,0:01:11,91.55
Zi0ccVGxPKk,Haşim Büyükçelik Coachify Tanıtım,"Jul 13, 2023",50,1,0:01:12,145.12
yUSjdut0Y6c,Mert Kalaycı Coachify Tanıtım,"Jul 13, 2023",57,0,,
